Customer Name,Customer Id,Billing Address Country,CITY,Zip,Gateway,Net Sale,Total Tax,Total Price Usd,Sum of Order Number,Product Type
Berton Georgi,1,United States,WALTHAM,69184,shopify_payments,$518,51.753,569.283,5994,Running Shoes
Leontyne Perello,1,United States,ROANOKE,69182,shopify_payments,$588,58.793,646.723,6934,Running Shoes
Sidonnie Jones,1,United States,ORLANDO,69172,shopify_payments,$635,63.513,698.643,7026,Running Shoes
Auberon Carnduff,1,United States,SPOKANE,69158,shopify_payments,$537,53.713,590.843,2350,Running Shoes
Roley Lorriman,1,United States,SAN JOSE,69072,shopify_payments,$537,53.713,590.843,3330,Tennis Shoes
Brynna Vecard,1,United States,DAVENPORT,69048,shopify_payments,$555,55.513,610.643,2272,Running Shoes
Kennan Matelyunas,1,United States,SIOUX FALLS,69037,shopify_payments,$537,53.713,590.843,7220,Climbing Shoes
Marijo Faircley,1,United States,SIOUX FALLS,69033,paypal,$910,90.953,1000.483,6478,Tennis Shoes
Moll Cattle,1,United States,NORFOLK,69032,shopify_payments,$494,49.353,542.883,5241,Running Shoes
Ameline Piolli,1,United States,MAPLE PLAIN,68991,shopify_payments,$517,51.713,568.843,2631,Running Shoes
Clark Harcombe,1,United States,SACRAMENTO,68972,shopify_payments,$801,80.113,881.243,1962,Climbing Shoes
Teresita Delmage,1,United States,VIRGINIA BEACH,68969,shopify_payments,$533,53.273,586.003,3469,Cycling Shoes
Arni Broszkiewicz,1,United States,MADISON,68915,shopify_payments,$497,49.713,546.843,7039,Running Shoes
Aurore Schneider,1,United States,MIAMI,68912,shopify_payments,$497,49.713,546.843,5808,Running Shoes
Suki Cowndley,1,United States,WASHINGTON,68897,amazon_payments,$625,62.513,687.643,6152,Running Shoes
Donny Penkman,1,United States,SYRACUSE,68894,shopify_payments,$537,53.713,590.843,7375,Running Shoes
Timotheus Finci,1,United States,GRAND RAPIDS,68891,shopify_payments,$527,52.713,579.843,5722,Tennis Shoes
Holt Lehon,1,United States,CHARLOTTE,68869,shopify_payments,$518,51.753,569.283,573,Running Shoes
Derron Ciardo,1,United States,BRONX,68860,gift_card,$504,50.413,554.543,5168,Running Shoes
Marty Blinco,1,United States,SAN ANTONIO,68849,gift_card,$504,50.413,554.543,2213,Running Shoes
Roseann Aleksashin,1,United States,TOLEDO,68849,shopify_payments,$537,53.713,590.843,3825,Running Shoes
Lila Chaulk,1,United States,HAYWARD,68833,shopify_payments,$527,52.713,579.843,2117,Running Shoes
Conroy Malamore,1,United States,ORLANDO,68797,shopify_payments,$625,62.513,687.643,4793,Tennis Shoes
Freda Eblein,1,United States,LOS ANGELES,68794,paypal,$733,73.313,806.443,4201,Tennis Shoes
Ailina Buske,1,United States,OKLAHOMA CITY,68778,gift_card,$494,49.353,542.883,4689,Running Shoes
Bondy Sawl,1,United States,FORT WAYNE,68759,amazon_payments,$510,50.953,560.483,6264,Walking Shoes
Kacy Willmont,1,United States,SPRINGFIELD,68751,paypal,$518,51.753,569.283,2474,Running Shoes
Camellia Kestell,1,United States,NEW YORK CITY,68733,shopify_payments,$510,50.953,560.483,2235,Climbing Shoes
Bobby Prandi,1,United States,SAN ANTONIO,68729,shopify_payments,$497,49.713,546.843,6597,Running Shoes
Marci Coller,1,United States,COLUMBUS,68727,gift_card,$490,49.013,539.143,3003,Walking Shoes
Isa Stobo,1,United States,FORT WAYNE,68722,shopify_payments,$625,62.513,687.643,6333,Running Shoes
Silvio Joris,1,United States,BUFFALO,68719,shopify_payments,$537,53.713,590.843,5156,Running Shoes
Emalia Watkiss,1,United States,COLUMBIA,68700,manual,$527,52.713,579.843,821,Tennis Shoes
Terencio Blewitt,1,United States,WILMINGTON,68692,shopify_payments,$542,54.153,595.683,3936,Running Shoes
Avis Fullbrook,1,United States,TERRE HAUTE,68667,shopify_payments,$537,53.713,590.843,1186,Climbing Shoes
Barnabas Isley,1,United States,KISSIMMEE,68656,shopify_payments,$497,49.713,546.843,1189,Cycling Shoes
Silvio Damato,1,United States,CINCINNATI,68643,shopify_payments,$635,63.513,698.643,1075,Running Shoes
Ashlie Singh,1,United States,GREENSBORO,68635,gift_card,$502,50.153,551.683,6258,Tennis Shoes
Jeannie McLorinan,1,United States,WASHINGTON,68607,paypal,$527,52.713,579.843,1408,Tennis Shoes
Audry Kenelin,1,United States,TULSA,68605,gift_card,$596,59.593,655.523,1637,Running Shoes
Agathe Larmour,1,United States,GREENVILLE,68577,shopify_payments,$618,61.833,680.163,6322,Climbing Shoes
Karina Towhey,1,United States,BOISE,68562,shopify_payments,$537,53.713,590.843,763,Running Shoes
Nikos Wiffler,1,United States,HARRISBURG,68555,shopify_payments,$539,53.913,593.043,7399,Gift Card
Bo Clements,1,United States,DENTON,68550,shopify_payments,$486,48.553,534.083,1993,Tennis Shoes
Connie McDyer,1,United States,HOUSTON,68545,shopify_payments,$588,58.793,646.723,6716,Walking Shoes
Kort Dand,1,United States,SACRAMENTO,68539,gift_card,$510,50.953,560.483,183,Tennis Shoes
Teresina Elgy,1,United States,LAKELAND,68533,shopify_payments,$517,51.713,568.843,5389,Tennis Shoes
Charmian Summerhayes,1,United States,YOUNG AMERICA,68529,gift_card,$537,53.713,590.843,1644,Running Shoes
Cora Tanguy,1,United States,MEMPHIS,68529,shopify_payments,$486,48.553,534.083,2046,Running Shoes
Patricio Griston,1,United States,TACOMA,68509,shopify_payments,$439,43.913,483.043,1183,Tennis Shoes
Sara Lambertazzi,1,United States,COLUMBIA,68503,shopify_payments,$721,72.073,792.803,634,Tennis Shoes
Catherine Burbury,1,United States,CANTON,68484,gift_card,$522,52.213,574.343,4807,Running Shoes
Carri Oliver,1,United States,HUNTINGTON,68454,paypal,$537,53.713,590.843,2231,Running Shoes
Nola Szach,1,United States,NORTH LAS VEGAS,68448,shopify_payments,$674,67.433,741.763,4786,Cycling Shoes
Clayborne Benoey,1,United States,ERIE,68432,shopify_payments,$514,51.413,565.543,6996,Gift Card
Dannie Burnet,1,United States,SAINT PETERSBURG,68426,shopify_payments,$537,53.713,590.843,5463,Climbing Shoes
Gordie Hannabus,1,United States,BRONX,68391,shopify_payments,$494,49.353,542.883,3886,Cycling Shoes
Birk Gillie,1,United States,ROCHESTER,68320,amazon_payments,$564,56.393,620.323,3255,Running Shoes
Jacky Elington,1,United States,NASHVILLE,68313,paypal,$497,49.713,546.843,7294,Sandals
Levy Brewett,1,United States,NEW YORK CITY,68289,paypal,$580,57.993,637.923,6155,Tennis Shoes
Rudolph Garrod,1,United States,BOSTON,68278,paypal,$635,63.513,698.643,7067,Running Shoes
Valery Godlip,1,United States,AKRON,68272,gift_card,$504,50.413,554.543,5615,Running Shoes
Sherilyn Towne,1,United States,FORT WORTH,68262,gift_card,$537,53.713,590.843,2221,Tennis Shoes
Fiann Profit,1,United States,DEARBORN,68259,paypal,$518,51.753,569.283,7140,Tennis Shoes
Barnabe Whibley,1,United States,HENDERSON,68248,manual,$537,53.713,590.843,220,Tennis Shoes
Aland Ranyard,1,United States,FORT MYERS,68243,gift_card,$698,69.753,767.283,1755,Running Shoes
Beale Nunnerley,1,United States,OMAHA,68208,shopify_payments,$537,53.713,590.843,2690,Cycling Shoes
Iago Hellewell,1,United States,NEW YORK CITY,68174,paypal,$539,53.913,593.043,7196,Gift Card
Maure Corrao,1,United States,DANBURY,68173,gift_card,$497,49.713,546.843,3749,Cycling Shoes
Coraline Aspy,1,United States,HARTFORD,68171,gift_card,$596,59.593,655.523,6975,Running Shoes
Humberto Kubal,1,United States,GADSDEN,68171,shopify_payments,$537,53.713,590.843,6584,Cycling Shoes
Dane O'Doohaine,1,United States,HARTFORD,68142,shopify_payments,$635,63.513,698.643,1686,Running Shoes
Juliann Phillp,1,United States,WASHINGTON,68127,amazon_payments,$733,73.313,806.443,800,Walking Shoes
Felicity Hainsworth,1,United States,LINCOLN,68114,shopify_payments,$502,50.153,551.683,3334,Climbing Shoes
Byron Challicum,1,United States,ALBANY,68113,shopify_payments,$539,53.913,593.043,6621,Gift Card
Peadar Byrth,1,United States,DURHAM,68108,paypal,$613,61.313,674.443,5768,Sandals
Mikael Cavolini,1,United States,ATLANTA,68087,gift_card,$517,51.713,568.843,1011,Walking Shoes
Nappie Billison,1,United States,WARREN,68087,shopify_payments,$518,51.753,569.283,5956,Climbing Shoes
Correy Vannozzii,1,United States,JACKSONVILLE,68086,gift_card,$486,48.633,534.963,6730,Cycling Shoes
Lenna McGuff,1,United States,MEMPHIS,68071,shopify_payments,$653,65.313,718.443,4508,Sandals
Cornelius Lipprose,1,United States,WASHINGTON,68069,shopify_payments,$555,55.513,610.643,1478,Sandals
Alena Copozio,1,United States,DALLAS,68020,shopify_payments,$775,77.513,852.643,5054,Tennis Shoes
Ezequiel Winear,1,United States,RENO,68011,paypal,$537,53.713,590.843,2618,Tennis Shoes
Marchelle Hustler,1,United States,MEMPHIS,67955,shopify_payments,$439,43.913,483.043,4493,Boots
Fae Castelijn,1,United States,SEATTLE,67946,shopify_payments,$486,48.553,534.083,3887,Tennis Shoes
Chrysler Bootherstone,1,United States,OAKLAND,67941,paypal,$527,52.713,579.843,5215,Tennis Shoes
King Sansum,1,United States,AMARILLO,67941,shopify_payments,$502,50.153,551.683,1133,Running Shoes
Christophe Essam,1,United States,DENVER,67921,shopify_payments,$532,53.193,585.123,4650,Running Shoes
Wally Tumpane,1,United States,ANAHEIM,67915,shopify_payments,$721,72.073,792.803,3971,Cycling Shoes
Munmro Pritchitt,1,United States,HOUSTON,67904,paypal,$527,52.713,579.843,3562,Tennis Shoes
Joellyn Queste,1,United States,ATHENS,67896,shopify_payments,$537,53.713,590.843,5614,Running Shoes
Huntington Ashlee,1,United States,PITTSBURGH,67894,shopify_payments,$596,59.593,655.523,668,Running Shoes
Red Medlin,1,United States,LANSING,67880,shopify_payments,$537,53.713,590.843,1569,Running Shoes
Blancha Fotherby,1,United States,PEORIA,67866,paypal,$540,53.993,593.923,845,Tennis Shoes
Kale Lamerton,1,United States,SPRINGFIELD,67848,shopify_payments,$625,62.513,687.643,1146,Flip-Flops
Gordon Compton,1,United States,RICHMOND,67840,gift_card,$585,58.513,643.643,6915,Flip-Flops
Isabella Hamblen,1,United States,SALEM,67840,shopify_payments,$497,49.713,546.843,684,Tennis Shoes
Bone Fearney,1,United States,SAN DIEGO,67823,paypal,$781,78.113,859.243,7014,Running Shoes
Ulrich Boscher,1,United States,WARREN,67820,gift_card,$490,49.013,539.143,555,Running Shoes
Jehu Szymonowicz,1,United States,TUSCALOOSA,67817,gift_card,$518,51.753,569.283,2207,Running Shoes
Elonore Cutchee,1,United States,GREEN BAY,67805,shopify_payments,$537,53.713,590.843,6709,Tennis Shoes
Rheba Craigheid,1,United States,NEWARK,67803,shopify_payments,$711,71.113,782.243,2427,Boots
Darya Greenland,1,United States,DALLAS,67795,shopify_payments,$439,43.913,483.043,5410,Tennis Shoes
Onida Andrysiak,1,United States,LAS VEGAS,67794,paypal,$527,52.713,579.843,7337,Running Shoes
Esteban Burdekin,1,United States,WASHINGTON,67785,manual,$537,53.713,590.843,5904,Tennis Shoes
Sonny Langelay,1,United States,NEW YORK CITY,67775,manual,$537,53.713,590.843,172,Tennis Shoes
Halette Kentwell,1,United States,ARLINGTON,67761,shopify_payments,$625,62.513,687.643,6134,Running Shoes
Ethelyn Dils,1,United States,SEMINOLE,67755,shopify_payments,$532,53.193,585.123,5959,Running Shoes
Jemmie Hilliam,1,United States,BALTIMORE,67748,shopify_payments,$733,73.313,806.443,4630,Boots
Alix Lerven,1,United States,SAN JOSE,67725,shopify_payments,$502,50.153,551.683,5377,Tennis Shoes
Ramon Trolley,1,United States,FORT WORTH,67691,shopify_payments,$588,58.793,646.723,1110,Cycling Shoes
Armin Bellas,1,United States,ATLANTA,67675,shopify_payments,$507,50.713,557.843,7372,Running Shoes
Janeen Le Barr,1,United States,LOS ANGELES,67666,shopify_payments,$502,50.153,551.683,7018,Running Shoes
Marleah Deetch,1,United States,DECATUR,67653,shopify_payments,$625,62.513,687.643,2780,Tennis Shoes
Adan McMeekin,1,United States,HOUSTON,67637,shopify_payments,$487,48.713,535.843,410,Sandals
Peter Hutt,1,United States,OGDEN,67624,paypal,$633,63.313,696.443,6106,Running Shoes
Banky Pimme,1,United States,LANCASTER,67600,shopify_payments,$615,61.513,676.643,2357,Flip-Flops
Kellby Dellatorre,1,United States,BURBANK,67574,shopify_payments,$596,59.593,655.523,638,Tennis Shoes
Odey Mallam,1,United States,SHREVEPORT,67566,shopify_payments,$502,50.153,551.683,6845,Walking Shoes
Tawsha Bigham,1,United States,NEW ORLEANS,67563,shopify_payments,$497,49.713,546.843,7247,Tennis Shoes
Giffy Cicchinelli,1,United States,AUSTIN,67558,shopify_payments,$555,55.513,610.643,1422,Tennis Shoes
Stanwood Craufurd,1,United States,MIAMI,67549,amazon_payments,$555,55.513,610.643,3555,Walking Shoes
Xerxes Ozanne,1,United States,TROY,67544,paypal,$537,53.713,590.843,836,Tennis Shoes
Cullan Perschke,1,United States,ATHENS,67543,gift_card,$518,51.753,569.283,2031,Tennis Shoes
Patrice Swains,1,United States,PITTSBURGH,67520,gift_card,$595,59.513,654.643,4995,Running Shoes
Seka Capner,1,United States,HUNTINGTON,67503,gift_card,$494,49.353,542.883,323,Tennis Shoes
Rhona Martinet,1,United States,HOUSTON,67501,gift_card,$497,49.713,546.843,943,Running Shoes
Roseanna Gosforth,1,United States,SACRAMENTO,67488,shopify_payments,$497,49.713,546.843,4584,Running Shoes
Kissiah Oehm,1,United States,CHARLESTON,67487,shopify_payments,$527,52.713,579.843,6114,Tennis Shoes
Hobard Switland,1,United States,SACRAMENTO,67463,paypal,$585,58.513,643.643,6010,Running Shoes
Emalee Raveau,1,United States,RICHMOND,67449,gift_card,$498,49.763,547.393,6425,Running Shoes
Chuck Keeffe,1,United States,BOISE,67436,shopify_payments,$537,53.713,590.843,1142,Climbing Shoes
Corny Tinker,1,United States,CLEVELAND,67436,shopify_payments,$517,51.713,568.843,1594,Cycling Shoes
Kim Ferrarin,1,United States,MEMPHIS,67435,gift_card,$510,50.953,560.483,2457,Tennis Shoes
Elwyn Colebourn,1,United States,HOUSTON,67432,shopify_payments,$594,59.433,653.763,4994,Climbing Shoes
Alisander Brigman,1,United States,WICHITA FALLS,67421,paypal,$763,76.313,839.443,5610,Running Shoes
Terrijo Prise,1,United States,POMPANO BEACH,67416,shopify_payments,$537,53.713,590.843,92,Boots
Fayth O'Glessane,1,United States,HUNTSVILLE,67414,gift_card,$517,51.713,568.843,1764,Running Shoes
Stanleigh Storie,1,United States,LONG BEACH,67410,shopify_payments,$532,53.193,585.123,4810,Tennis Shoes
Rosaleen Tessington,1,United States,ATLANTA,67406,paypal,$588,58.793,646.723,6721,Tennis Shoes
Susanne Espada,1,United States,OKLAHOMA CITY,67402,paypal,$497,49.713,546.843,5079,Walking Shoes
Glynn Mackneis,1,United States,INGLEWOOD,67399,shopify_payments,$555,55.513,610.643,1048,Climbing Shoes
Nye Sellstrom,1,United States,FORT LAUDERDALE,67382,gift_card,$537,53.713,590.843,1409,Cycling Shoes
Kaycee Brunning,1,United States,ALBUQUERQUE,67378,shopify_payments,$555,55.513,610.643,2292,Running Shoes
Giorgio Ibbeson,1,United States,SAINT PETERSBURG,67354,paypal,$653,65.313,718.443,1009,Tennis Shoes
Thaddus Leschelle,1,United States,BROOKLYN,67348,shopify_payments,$514,51.413,565.543,833,Gift Card
Niall Humm,1,United States,JACKSONVILLE,67320,shopify_payments,$635,63.513,698.643,3651,Cycling Shoes
Esther Callaway,1,United States,TRENTON,67297,shopify_payments,$615,61.513,676.643,3035,Cycling Shoes
Carilyn Geratasch,1,United States,ODESSA,67252,shopify_payments,$494,49.353,542.883,2888,Running Shoes
Isak Faunt,1,United States,SAINT PETERSBURG,67243,shopify_payments,$635,63.513,698.643,6453,Climbing Shoes
Vincenty Whitlam,1,United States,CHICAGO,67234,shopify_payments,$507,50.713,557.843,4024,Running Shoes
Kerrill Goodinge,1,United States,DAVENPORT,67214,manual,$927,92.713,1019.843,471,Sandals
Ludwig Kindley,1,United States,RESTON,67185,paypal,$518,51.753,569.283,701,Tennis Shoes
Kermie Bostock,1,United States,FORT MYERS,67184,paypal,$556,55.593,611.523,3138,Walking Shoes
Maiga Melhuish,1,United States,SAVANNAH,67153,shopify_payments,$625,62.513,687.643,4436,Running Shoes
Zandra Ansteys,1,United States,AUSTIN,67153,shopify_payments,$527,52.713,579.843,411,Running Shoes
Sonnnie Berg,1,United States,HUNTINGTON,67147,shopify_payments,$750,74.953,824.483,4666,Walking Shoes
Margaret Galero,1,United States,DES MOINES,67146,gift_card,$518,51.753,569.283,3744,Running Shoes
Phyllida Corre,1,United States,COLORADO SPRINGS,67146,paypal,$719,71.913,791.043,2126,Running Shoes
Estrella Dickens,1,United States,INDIANAPOLIS,67120,shopify_payments,$537,53.713,590.843,197,Climbing Shoes
Ariana Storah,1,United States,LAS CRUCES,67112,shopify_payments,$555,55.513,610.643,1246,Sandals
Christian Bracknall,1,United States,TYLER,67099,shopify_payments,$673,67.313,740.443,1334,Walking Shoes
Ivie Vertey,1,United States,SAN JOSE,67081,shopify_payments,$852,85.193,937.123,2008,Cycling Shoes
Juline McCray,1,United States,BRONX,67068,manual,$507,50.713,557.843,305,Tennis Shoes
Glenna Krolik,1,United States,COLUMBUS,67056,shopify_payments,$809,80.913,890.043,2402,Walking Shoes
Roselia Whybrow,1,United States,PHILADELPHIA,67048,shopify_payments,$486,48.553,534.083,3823,Climbing Shoes
Gray Somner,1,United States,MINNEAPOLIS,67018,shopify_payments,$507,50.713,557.843,3809,Running Shoes
Dewitt Urlich,1,United States,RICHMOND,66991,shopify_payments,$517,51.713,568.843,1998,Cycling Shoes
Kalle Champley,1,United States,DALLAS,66987,gift_card,$507,50.713,557.843,2390,Running Shoes
Say Dockray,1,United States,HOUSTON,66975,shopify_payments,$517,51.713,568.843,1026,Cycling Shoes
Sheila-kathryn Rishworth,1,United States,PENSACOLA,66971,shopify_payments,$527,52.713,579.843,4284,Running Shoes
Si Carus,1,United States,ORLANDO,66954,gift_card,$518,51.753,569.283,4672,Tennis Shoes
Vaughn Spread,1,United States,ORANGE,66923,paypal,$497,49.713,546.843,6470,Sandals
Chadwick Glozman,1,United States,BOSTON,66900,shopify_payments,$580,57.993,637.923,6323,Running Shoes
Rowland Massei,1,United States,ALEXANDRIA,66900,gift_card,$517,51.713,568.843,3142,Running Shoes
Corri Looby,1,United States,JACKSON,66885,shopify_payments,$459,45.913,505.043,4840,Climbing Shoes
Cord Blackadder,1,United States,GARDEN GROVE,66845,paypal,$625,62.513,687.643,6370,Tennis Shoes
Wynny Swalwel,1,United States,MINNEAPOLIS,66835,gift_card,$564,56.393,620.323,3723,Running Shoes
Lark Borrott,1,United States,SEATTLE,66834,shopify_payments,$537,53.713,590.843,6891,Climbing Shoes
Aile Bouskill,1,United States,SIMI VALLEY,66784,paypal,$615,61.513,676.643,7086,Running Shoes
Stacie Barrasse,1,United States,CHARLOTTE,66750,paypal,$527,52.713,579.843,2755,Tennis Shoes
Lorita Dilgarno,1,United States,OKLAHOMA CITY,66749,shopify_payments,$537,53.713,590.843,6849,Running Shoes
Joe Ambrogini,1,United States,DENVER,66739,shopify_payments,$693,69.313,762.443,5257,Tennis Shoes
Killy Bounde,1,United States,DAYTON,66711,paypal,$497,49.713,546.843,1769,Running Shoes
Charmian Moreinu,1,United States,BAKERSFIELD,66710,shopify_payments,$655,65.513,720.643,6531,Climbing Shoes
Rochette Elias,1,United States,IRVING,66669,shopify_payments,$586,58.613,644.743,3786,Boots
Olenka Thiolier,1,United States,ORLANDO,66650,shopify_payments,$517,51.713,568.843,2104,Flip-Flops
Eldon Brownsall,1,United States,GLENDALE,66648,shopify_payments,$527,52.713,579.843,1722,Walking Shoes
Amory Scoon,1,United States,LEXINGTON,66632,shopify_payments,$502,50.153,551.683,6215,Cycling Shoes
Alaster Flintoft,1,United States,ORLANDO,66623,amazon_payments,$518,51.753,569.283,6605,Running Shoes
Somerset Kidder,1,United States,SPRINGFIELD,66611,shopify_payments,$509,50.913,560.043,1557,Boy's
Jere Neilus,1,United States,TYLER,66603,shopify_payments,$596,59.593,655.523,962,Running Shoes
Tove O'Glessane,1,United States,ORANGE,66566,shopify_payments,$518,51.753,569.283,3066,Tennis Shoes
Wilmar Sadler,1,United States,DECATUR,66536,shopify_payments,$540,53.993,593.923,3795,Tennis Shoes
Katharine Jesson,1,United States,WORCESTER,66518,shopify_payments,$518,51.753,569.283,5365,Running Shoes
Luis Haverson,1,United States,FORT LAUDERDALE,66511,paypal,$547,54.713,601.843,4327,Flip-Flops
Wilow Kerwen,1,United States,YONKERS,66496,shopify_payments,$572,57.193,629.123,3926,Running Shoes
Juana Darwin,1,United States,LITTLETON,66488,shopify_payments,$527,52.713,579.843,5456,Climbing Shoes
Gracia Harford,1,United States,AUSTIN,66484,paypal,$527,52.713,579.843,4026,Tennis Shoes
Lila Lomis,1,United States,MERIDIAN,66478,gift_card,$504,50.413,554.543,212,Running Shoes
Yehudit Redmille,1,United States,CHICAGO,66476,paypal,$596,59.593,655.523,5146,Tennis Shoes
Spike Peplow,1,United States,ORLANDO,66473,shopify_payments,$733,73.313,806.443,1017,Running Shoes
Gertrudis Richold,1,United States,HARRISBURG,66454,paypal,$510,50.953,560.483,1652,Running Shoes
Derril Comello,1,United States,ANAHEIM,66428,paypal,$517,51.713,568.843,5711,Walking Shoes
Tobye Musprat,1,United States,LOS ANGELES,66428,shopify_payments,$494,49.353,542.883,2783,Tennis Shoes
Viviene Benettelli,1,United States,PHOENIX,66379,shopify_payments,$537,53.713,590.843,5899,Cycling Shoes
Jamie Wortman,1,United States,CHATTANOOGA,66376,shopify_payments,$532,53.193,585.123,5135,Tennis Shoes
Leo Loalday,1,United States,OMAHA,66366,shopify_payments,$937,93.713,1030.843,6196,Cycling Shoes
Felicia O'Duggan,1,United States,AURORA,66334,paypal,$497,49.713,546.843,4588,Walking Shoes
Cole German,1,United States,MEMPHIS,66326,shopify_payments,$517,51.713,568.843,623,Sandals
Sharai Emanson,1,United States,SAN JOSE,66307,shopify_payments,$618,61.833,680.163,523,Running Shoes
Rorie Klaff,1,United States,COLUMBUS,66293,shopify_payments,$635,63.513,698.643,7316,Tennis Shoes
Walther Ayerst,1,United States,SAINT JOSEPH,66273,gift_card,$518,51.753,569.283,1357,Cycling Shoes
Mariquilla Cobbold,1,United States,MACON,66270,shopify_payments,$626,62.633,688.963,5632,Walking Shoes
Nicolle Heatlie,1,United States,TUSCALOOSA,66262,shopify_payments,$542,54.153,595.683,1679,Climbing Shoes
Dee dee Kirk,1,United States,OKLAHOMA CITY,66243,shopify_payments,$831,83.113,914.243,6842,Running Shoes
Carlos MacDunleavy,1,United States,PHILADELPHIA,66230,gift_card,$518,51.753,569.283,6463,Running Shoes
Tannie Enrdigo,1,United States,WASHINGTON,66218,shopify_payments,$527,52.713,579.843,5771,Climbing Shoes
Gerik Hooban,1,United States,RICHMOND,66207,shopify_payments,$497,49.713,546.843,6469,Cycling Shoes
Rogerio Rickard,1,United States,CHICAGO,66200,gift_card,$510,50.953,560.483,3569,Running Shoes
Siobhan O'Leary,1,United States,FRESNO,66200,shopify_payments,$605,60.513,665.643,4673,Running Shoes
Jolynn Strutt,1,United States,PITTSBURGH,66194,shopify_payments,$517,51.713,568.843,4568,Tennis Shoes
Mariele Stubbes,1,United States,NEW YORK CITY,66170,shopify_payments,$578,57.833,636.163,277,Walking Shoes
Rosabel Chrispin,1,United States,NEW YORK CITY,66169,shopify_payments,$486,48.553,534.083,5111,Cycling Shoes
Elwira Cristofori,1,United States,PENSACOLA,66148,shopify_payments,$497,49.713,546.843,1315,Walking Shoes
Eddie Tunney,1,United States,TOPEKA,66143,shopify_payments,$497,49.713,546.843,1055,Cycling Shoes
Saunder Fielding,1,United States,MONROE,66141,paypal,$555,55.513,610.643,1512,Cycling Shoes
Humberto Kirtley,1,United States,DALLAS,66081,shopify_payments,$564,56.393,620.323,4105,Climbing Shoes
Haroun Penton,1,United States,DECATUR,66060,shopify_payments,$596,59.593,655.523,4198,Running Shoes
Lindsay Gronav,1,United States,BRADENTON,66056,shopify_payments,$527,52.713,579.843,2190,Tennis Shoes
Eloise Cowdray,1,United States,HOUSTON,66035,shopify_payments,$650,65.033,715.363,1279,Running Shoes
Francesca Gellibrand,1,United States,SAVANNAH,66017,shopify_payments,$484,48.413,532.543,5076,Walking Shoes
Janaye Isaksen,1,United States,WORCESTER,66002,amazon_payments,$733,73.313,806.443,4550,Tennis Shoes
Norrie Chanson,1,United States,PITTSBURGH,65976,gift_card,$635,63.513,698.643,360,Tennis Shoes
Christabella Kerbey,1,United States,FRESNO,65958,shopify_payments,$655,65.513,720.643,7043,Jackets
Lucinda Cobelli,1,United States,GALVESTON,65956,paypal,$537,53.713,590.843,6183,Tennis Shoes
Vladamir Brasener,1,United States,AUGUSTA,65952,shopify_payments,$507,50.713,557.843,4909,Tennis Shoes
Cornell Weedon,1,United States,PORTSMOUTH,65930,shopify_payments,$522,52.153,573.683,535,Running Shoes
Nev Mor,1,United States,BOZEMAN,65926,shopify_payments,$625,62.513,687.643,1200,Tennis Shoes
Adora Spanton,1,United States,GRAND RAPIDS,65913,amazon_payments,$537,53.713,590.843,2473,Running Shoes
Gilberte Loosemore,1,United States,DALLAS,65910,shopify_payments,$615,61.513,676.643,7109,Running Shoes
Gertrudis Kleynen,1,United States,PHOENIX,65885,shopify_payments,$527,52.713,579.843,6750,Running Shoes
Sayers Pirnie,1,United States,DENVER,65874,paypal,$518,51.753,569.283,2581,Running Shoes
Al Witheridge,1,United States,INDIANAPOLIS,65862,paypal,$510,50.953,560.483,5481,Running Shoes
Wynn Burchill,1,United States,HOUSTON,65853,shopify_payments,$510,50.953,560.483,1983,Tennis Shoes
Terrie Rotherham,1,United States,CHICAGO,65836,gift_card,$518,51.753,569.283,6650,Running Shoes
Jamesy Yeoland,1,United States,CORPUS CHRISTI,65826,gift_card,$537,53.713,590.843,1996,Running Shoes
Bobbye Elizabeth,1,United States,DES MOINES,65821,shopify_payments,$537,53.713,590.843,5781,Walking Shoes
Gerri Gilliat,1,United States,EVANSVILLE,65803,shopify_payments,$497,49.713,546.843,6671,Walking Shoes
Reena Went,1,United States,PORTLAND,65779,shopify_payments,$577,57.713,634.843,7183,Cycling Shoes
Xaviera Perry,1,United States,EVERETT,65770,gift_card,$588,58.793,646.723,6746,Running Shoes
Zaria Morpeth,1,United States,GREENVILLE,65739,shopify_payments,$537,53.713,590.843,1800,Climbing Shoes
Carmelina Gerretsen,1,United States,PALATINE,65729,gift_card,$635,63.513,698.643,825,Tennis Shoes
Andi Lorraway,1,United States,LONG BEACH,65720,shopify_payments,$615,61.513,676.643,2986,Running Shoes
Yance Abernethy,1,United States,NEW YORK CITY,65718,gift_card,$518,51.753,569.283,3325,Tennis Shoes
Myriam Corfield,1,United States,NEW HAVEN,65709,gift_card,$502,50.153,551.683,1271,Running Shoes
Hastings Batchelor,1,United States,NEW YORK CITY,65700,shopify_payments,$518,51.753,569.283,2351,Running Shoes
Gilberta Marnane,1,United States,HAMILTON,65694,gift_card,$467,46.713,513.843,5194,Walking Shoes
Hulda Melloy,1,United States,EL PASO,65673,shopify_payments,$527,52.713,579.843,3115,Running Shoes
Puff Pitkins,1,United States,AMARILLO,65662,gift_card,$488,48.756,536.316,550,Running Shoes
Thayne Dundendale,1,United States,KANSAS CITY,65640,shopify_payments,$439,43.913,483.043,7047,Tennis Shoes
Gennie Heighway,1,United States,HUNTINGTON,65635,gift_card,$745,74.473,819.203,1282,Running Shoes
Mandel McGirr,1,United States,VALLEY FORGE,65633,paypal,$527,52.713,579.843,1154,Tennis Shoes
